,ID.PLOT,ID.TRACT,BIO4,tprec,a.tmin,a.tmax,a.tmean,alt,Pop.pa,HHpop,Province,GEZ,pop.d,S.DistToRoad,Expo,Slope,RELIEF,TEXTURE,DRAINAGE,SOM,N0,H,Simp,N1,N2,E1,E2,X1e.05,X110020,X110030,X2e.05,X312000,X321000,X324000,X4e.05,Stem,BA.PLOT,dom.dbh.tree,dom.height.tree,dom.WD.tree,mean.DBH.plot,mean.H.plot,mean.wd.plot,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,FOREST
337,2011091,201109,0,889,16.06666667,28.93333333,22.475,891,0,0,Eastern,Tropical dry forest,25358.9043,14677.5394,270,3,1,3,0,2,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,-16.26140505,-12.99283903,11.93349018,11.64380412,90.13881244,-0.921962512,1.226344504,-50.28770523,15.89545855,-50.67613107,-83.91760514,49.03811963,2.268639732,-10.48621414,-44.84067621,-25.76454763,1.04760381,5.329967925,-6.827349697,33.83816194,10.02854765,-47.37212751,1.616301713,2.942353065,54.92888719,-51.49526181,-2.305216708,-15.95693478,-8.812610089,-4.767552909,2.113680684,-28.88519674,-2.991969768,1.573050585,9.735121217,4.734624896,-19.57609538,-47.01049123,-6.264746996,-2.656244269,2.659827779,-5.543466555,-44.00897798,-10.17780581,17.26313164,2.823417745,0.548918728,-11.1713231,3.779627628,-8.533776773,10.98637742,-28.32048285,-14.07844297,12.75631474,18.54555837,-3.684378021,-10.70437667,-1.83660068,39.1826519,-60.95988293,14.33282492,-13.53378076,21.84169704,-0.075414667,16.36276683,-4.948528835,40.56607602,-17.1703762,14.52955477,1.076777387,-16.43889661,5.228217124,7.108855244,-7.902440092,20.79003234,2.805270272,-21.49374068,4.08636653,-6.09508907,-30.14526431,-42.0529928,18.03157326,-3.334567579,-0.194384244,-2.263385908,19.49816254,-15.49474699,9.020625195,-0.889786415,-1.135221821,2.059380002,-8.950511091,-10.97949312,33.01020545,1.332227167,1.646872944,4.178823346,-4.814136512,-17.0662389,0.524929696,-15.48184079,4.207871895,-17.80624111,-0.116869038,0.546606877,6.616767822,-9.395608376,0.188286189,0.461689868,-5.039970489,-13.57682632,-0.885133566,10.03714188,-5.319178917,-1.135697248,-13.42573067,14.53929624,1.875444419,0.118619927,-7.391101455,25.86305076,-0.808223151,25.64588664,15.49414405,-22.8259862,9.29267687,21.80803312,-1.715122213,12.40983571,-3.173459286,1.273309068,0.498152216,-1.653321611,2.877047191,-3.524880027,13.98622464,-1.974673183,14.15410009,7.204320475,8.478032836,-5.001970698,4.573319138,-2.957940125,-2.608282722,6.487513481,-10.13185463,-3.403429179,-19.85872925,1.165699748,1
338,2011092,201109,23.22434462,889,16.06666667,28.93333333,22.475,891,0,0,Eastern,Tropical dry forest,25358.9043,14677.5394,180,3,1,3,0,2,7,1.52568232,0.740702479,4.598279998,3.856573705,0.656897143,0.550939101,0,0,5000,0,0,0,0,0,88,0.77369754,56,11,0.814,12.72093023,6.720930233,0.7002,-15.79378523,-12.66234856,11.4116604,11.26154436,86.68427754,-0.753391885,0.96819558,-49.29912065,15.39873644,-50.58445957,-86.25251299,51.45732673,0.334054037,-9.816743725,-45.33647506,-23.42912514,4.920001957,2.281251372,-3.700002854,34.77775977,9.499876907,-48.77206012,1.222198738,3.004731051,54.15200575,-50.51600011,-2.146779991,-16.58994034,-9.404332539,-5.275697566,8.510090242,-35.23713836,-5.065384486,0.452751943,10.56289702,5.523347638,-21.90824159,-53.07806097,-2.297483331,0.01197727,4.734645482,0.140573079,-46.78528294,-8.309221647,17.52705183,1.296907602,0.081735244,-12.82933284,4.344061132,-9.02236107,13.92663721,-33.1797579,-11.34065477,8.311584352,16.94794764,-1.390799501,-10.86955558,-3.57913064,32.05250387,-56.06498017,15.05183944,-20.2026215,24.73296988,1.099331999,14.84586083,0.782573648,38.2767173,-15.55927566,8.950182739,1.581005409,-18.65468449,10.33034191,12.17502257,-14.76466514,14.35348169,3.181999127,-25.9972826,5.423962058,-5.371563219,-38.40807616,-34.63919673,15.01506374,-8.636223419,-0.880806806,-5.348761191,-2.004577954,-6.873188606,13.92832059,0.573324307,-1.391539861,4.194714411,-7.081641616,-9.333520308,32.3327342,1.897777712,0.757448144,2.313262624,-3.582278376,-13.81441675,1.493977483,-11.74917147,3.062716376,-20.29663361,-0.022876454,0.569704816,1.424194406,-0.765626908,-0.894076709,1.496441481,-4.443199036,-13.03930719,-1.240878568,10.47420566,-4.393042539,-0.606667076,-18.34846764,15.55254902,0.947541471,3.237204185,-14.14104012,11.32666384,-6.075892389,-5.574704357,6.946096362,-26.74001159,8.442510986,16.61728273,-2.695909762,18.05326421,-21.38290754,3.096973269,-1.435203502,-6.443538006,9.253428338,-2.333136295,17.92684335,-0.171159866,-1.543935648,18.95429065,5.400182775,-6.403830018,7.407693595,0.616657942,-5.092538534,7.209086717,-11.93940303,-3.802131779,-16.94094788,6.0416206,1
339,2011093,201109,30.34907135,889,16.06666667,28.93333333,22.475,891,0,0,Eastern,Tropical dry forest,25358.9043,14677.5394,90,2,1,3,0,2,10,1.730392047,0.713842975,5.642865744,3.494584838,0.564286574,0.349458484,0,0,5000,0,0,0,0,0,88,1.48684074,80,13,0.8306,15.88636364,7.386363636,0.709359091,-15.76247637,-12.66205419,11.292669,11.19677975,85.99949499,-0.692058342,0.869530348,-49.22789455,15.32403502,-50.89736766,-88.08806168,53.09157609,-0.748771172,-9.413818209,-45.66566631,-22.17440904,6.859055305,0.778517352,-2.228883253,34.73136966,9.091631619,-47.82495537,1.309619079,2.81042877,50.37738446,-48.08710576,-2.010148379,-16.28454511,-9.308445751,-4.824389555,8.653844154,-39.04850932,-6.733388421,1.25891868,8.306117026,5.138072063,-20.42870233,-53.44089876,-3.434676828,-0.747852932,2.125649469,-6.262375647,-46.00837651,-10.66817672,20.07237178,1.304088173,6.148514007,-13.25355704,0.580723364,-5.681930223,9.6439123,-24.01107134,-20.93466024,19.89483778,20.7871991,-6.906848991,-6.601576954,-0.070866228,38.65153809,-59.36422666,13.44055153,-10.30467204,16.29190776,-1.049720615,17.61825441,-6.320285275,43.2235271,-16.2816545,17.74582147,0.674118779,-18.00726462,2.44561209,6.409261687,-7.617569778,18.27636522,2.738616251,-21.01775375,3.868664306,-4.476836627,-28.05903745,-36.23140069,14.43637675,-7.316872736,-0.526887252,-5.093648195,2.166742092,-8.996653122,16.25855255,1.286129831,-1.334687044,3.184262464,-7.024214717,-9.456214726,30.44304923,1.632518952,0.693626204,3.025038825,-3.640592138,-14.22032486,0.735032002,-11.89557946,3.205765863,-17.47459125,-0.082824846,0.323640108,1.976787629,-1.688493177,-0.50183467,1.347614612,-3.742640363,-10.91768716,-0.963123632,8.25920459,-3.783456935,-0.325008907,-14.07256269,11.68871332,0.70250985,2.264301944,-10.44133528,11.55171524,-5.016773985,-0.354651513,9.049728638,-25.96417114,5.459910929,21.42395179,-0.653882257,10.06225126,-2.898229019,1.919102879,-0.715847937,1.092872657,-3.00364991,-3.73744219,22.7251084,-0.47051661,17.40430847,1.327219134,10.22639385,-1.254622765,-2.017294065,10.64066073,-6.014792791,21.59335421,6.763906805,-0.061929264,9.699749388,-12.29476062,1
340,2011094,201109,11.39936916,889,16.06666667,28.93333333,22.475,891,0,0,Eastern,Tropical dry forest,25358.9043,14677.5394,270,3,1,3,0,2,7,1.426533729,0.639455782,4.164239763,2.773584906,0.594891395,0.396226415,0,0,5000,0,0,0,0,0,42,0.43958838,49,9,0.814,12.80952381,6.904761905,0.708738095,-15.26954809,-12.22972237,11.03114526,10.88045637,83.73253061,-0.729254688,0.938091906,-47.53260835,14.83487666,-48.73082445,-82.93378241,49.36999371,0.467342984,-9.535400156,-43.64495931,-22.75985738,4.296360311,2.574360837,-3.977717484,33.25249581,9.219349339,-46.61667819,1.29738218,2.882688225,51.92417272,-48.80726136,-2.161329492,-15.96992246,-9.087093115,-4.836376425,6.278768291,-33.2827905,-4.729793661,0.980387241,9.520164333,5.119114409,-20.45426503,-50.43539706,-4.10960433,-1.61083821,3.228211696,-4.424058477,-45.31865849,-10.11094862,18.19053153,2.067841301,1.916486094,-12.34038772,3.168124134,-7.605534935,12.06793412,-28.6821593,-15.54022589,13.84604419,18.87300539,-4.110212825,-9.536805224,-1.701146001,38.10328404,-61.33720698,14.80390239,-15.25885575,21.94351428,0.140805037,15.48251009,-3.597508653,42.03306505,-15.96299344,13.3634678,1.09289539,-18.72254846,6.895527041,8.339497801,-11.27304815,19.45230796,3.023306792,-24.14009389,4.342231903,-4.398051352,-30.78222007,-40.36011636,16.22564958,-8.736679969,-0.201200615,-6.089089928,4.907160306,-11.08496353,18.13460795,0.978143221,-1.190121169,3.587653339,-9.024188182,-11.60018781,37.14396144,1.712858393,1.202250718,3.582527315,-5.054644675,-17.69157937,0.98973733,-15.50064604,3.807420569,-22.66231146,-0.05375423,0.700661783,3.103761691,-3.412712424,-0.739220464,1.410185312,-5.15248837,-15.38057491,-1.247171,11.36725956,-5.37033539,-0.410135664,-17.18487767,15.94992896,1.5014695,1.565820371,-12.45327894,17.38274174,-6.55346143,1.17109171,11.20707812,-32.93424568,4.853051633,27.50278006,-1.000285193,11.63004005,-2.505849521,1.906626738,-1.682671581,-2.652344433,2.767818096,-2.05102121,16.22263564,-0.203813763,9.695141723,6.512223553,7.380288139,-3.355591294,1.277605112,1.181712929,-3.625244843,2.957041227,-3.261676728,-1.246632066,-3.359205527,1.002952114,1
341,2011101,201110,23.12051223,847,15.23333333,27.3,21.24166667,1092,1,NA,Eastern,Tropical moist deciduous forest,38064.76953,4309.055791,330,2,1,2,0,2,14,2.260957567,0.864639733,9.592270007,7.387692308,0.685162143,0.527692308,0,5000,0,0,0,0,0,0,98,2.15639424,57,12,0.758,20.20408163,6.142857143,0.639730464,-8.454562038,-6.751330508,5.30331365,5.667408532,41.22773876,0.185698721,-0.405185104,-25.78706756,7.105099575,-29.74856721,-59.61563839,38.77912418,-6.766698879,-3.588439312,-28.29670869,-5.067101151,14.94165644,-7.901454457,6.843219817,19.8501984,3.347202322,-25.62892782,0.992411422,1.217628546,14.50266046,-19.71618526,-1.177524578,-10.46243459,-7.331482114,-0.846765984,12.5141604,-48.72346406,-14.4705915,2.870143882,-3.316787018,3.204360468,-11.06005155,-47.92656201,-1.162556302,-0.627992266,-7.062214891,-23.45531827,-33.35436586,-14.85092919,25.53430796,-2.933928021,30.5541825,-15.42857549,-16.3735443,10.45969103,-8.954856534,12.9025586,-54.43086316,60.17965978,31.21232396,-26.46080774,15.18447123,13.31045966,43.51867238,-49.6521325,3.720738436,26.09641986,-25.09455245,-9.89105971,31.80065561,-29.847945,58.15442601,-19.28969458,52.75354165,-3.743386468,-17.72386818,-34.67046976,-8.328188114,19.88862149,18.34445738,-0.745575119,-4.050531506,-1.398984096,-5.965314944,-17.32170354,-24.86969048,13.06042792,-1.088631773,0.944570482,-7.710551376,-12.34061376,1.50322688,20.02664194,5.189860719,-2.18259743,1.876535367,7.659827576,5.359672626,-5.446416689,1.1010227,-2.863970545,-7.469487044,8.910202623,17.79932978,8.624063864,20.03542556,-2.091164202,11.85190535,0.521126031,0.471054885,-0.896535147,1.008881577,-1.392060058,1.382361979,-12.34831585,-33.4017801,-0.565309591,11.3932049,-8.940243145,0.353751712,4.699811997,3.594574671,2.573437799,-6.60309224,4.839078722,1.386120649,-2.47765773,-8.36403971,-5.552620896,5.096555138,-11.4600802,-9.213633684,1.021763186,-9.03965479,0.36408138,-0.932294643,-1.770734848,-6.720985955,11.30219077,6.333900613,-27.28243819,1.445552567,-29.8582728,1.87505319,-12.62731153,2.35644605,1.653930745,-8.257449546,5.908724385,-29.30702647,-7.897160189,2.251012788,-1.258660053,19.40552852,1
342,2011102,201110,20.70397834,847,15.23333333,27.3,21.24166667,1092,1,NA,Eastern,Tropical moist deciduous forest,38064.76953,4309.055791,220,2,1,3,1,2,11,2.059031627,0.845486111,7.838375664,6.471910112,0.712579606,0.588355465,0,5000,0,0,0,0,0,0,96,1.63787316,37,11,0.758,18.91666667,7.1875,0.649718598,-8.471354594,-6.831490696,5.153637659,5.611922334,40.58059405,0.275336494,-0.551923645,-26.05189461,7.158980685,-30.6673333,-63.53631159,42.22416638,-8.798766102,-2.806700523,-29.18909657,-2.851986753,19.29324018,-11.34751482,10.38050566,21.02393735,2.630002636,-26.25302223,0.638184449,1.112934855,11.21800493,-16.600879,-0.67718592,-10.32577385,-7.191369398,-1.646058032,19.93960602,-56.70234679,-17.36160023,1.919959346,-3.759151115,3.560498582,-11.90631998,-52.10652271,4.01552311,3.786969197,-4.789121717,-16.43753498,-32.67663726,-11.07501235,25.01205087,-5.692601034,32.56074813,-16.4357174,-17.84052535,10.98044252,-9.485868912,12.29979413,-53.68814157,57.95106376,28.16054629,-25.32083997,17.31074315,12.23807424,31.66936082,-35.50993559,2.257349628,21.98587037,-28.65254239,-9.211978868,28.70767014,-25.20530214,54.73985549,-15.82296533,51.93023083,-3.783058359,-19.19001291,-37.01965714,-6.246061888,19.69233603,9.750964823,-0.701994319,-3.714964094,0.349650609,-7.23632302,-24.18113684,-23.48502714,13.94295576,-0.985340519,0.398946152,-8.816207117,-19.28496049,3.772628194,22.62647828,6.3715635,-3.521760077,1.233734617,11.61359199,8.87240506,-10.28406301,2.195026357,-4.476149579,-11.27266374,13.9434265,27.87575469,10.32847726,27.26733276,-2.113799589,3.881875221,0.94726755,0.818761667,5.082102602,-9.369071035,-0.438149239,0.436934697,-13.66650089,-36.84654089,-0.310695457,13.29350533,-11.6209019,0.497689411,8.788320291,6.464589167,4.912969315,-12.73044337,10.99102315,8.977156946,-2.157258116,0.156893847,-3.292817261,6.252386891,-13.25200817,-2.251534772,2.142397508,-12.8393313,10.61869354,-1.24396339,-2.599853773,-8.785275692,15.72669366,6.819604416,-27.50339721,-0.665606048,-8.992850651,5.448572066,-7.897955893,-2.457583807,6.095041379,-16.45056506,8.2457393,-9.602055194,-7.694539605,2.753868133,-2.435323028,-0.104097776,1
343,2011103,201110,17.34137909,847,15.23333333,27.3,21.24166667,1092,1,NA,Eastern,Tropical moist deciduous forest,38064.76953,4309.055791,305,2,1,2,0,1,12,2.008159352,0.801038062,7.44959264,5.026086957,0.620799387,0.41884058,0,5000,0,0,0,0,0,0,68,1.75293426,44,12,1.1351,23.67647059,7.411764706,0.690609372,-7.792631238,-6.229189173,4.754633872,5.156942314,37.16882255,0.256367898,-0.509022143,-23.63404874,6.39879706,-27.79119453,-57.2007709,37.78627123,-7.625471997,-2.822804459,-26.58500255,-2.959323684,16.73163719,-9.641582272,8.731408165,18.90253662,2.581669378,-24.12191124,0.644873354,1.054627271,11.29387058,-16.22470061,-0.840643403,-9.731332215,-6.943118539,-0.938733976,16.96048448,-50.72924501,-15.49333349,1.901453128,-3.300445005,3.331671331,-11.11601919,-48.09945531,2.680864266,2.431317327,-5.723669193,-17.08456991,-31.2172885,-11.5438425,23.80964452,-4.801126994,30.52784555,-15.60324335,-16.8912949,10.79237935,-9.352543374,12.85677933,-52.62121113,57.72293409,29.46710742,-25.37471054,16.79209734,12.97259841,35.89869696,-40.84887103,2.277852172,26.47899295,-28.99041028,-10.2940188,33.27139871,-29.69364926,57.23031278,-19.68095897,55.00554222,-4.016763565,-17.48581915,-38.12004815,-7.635578454,21.98263536,14.86143826,-1.094843809,-2.934551922,-0.949846347,-7.249765463,-21.44279205,-22.61320324,13.49176158,0.106259,0.792150472,-7.959304138,-17.33868169,4.402205856,19.63335231,5.836328013,-2.669868492,1.990664219,10.70643669,8.192025794,-10.98938364,1.292566703,-3.712383434,-9.851062529,11.97069335,24.6145428,10.61112898,26.47081025,-2.751185407,17.17383395,0.675272759,0.513213174,-0.940177035,0.897502635,-1.647716955,1.705310688,-15.86216564,-42.47589175,-0.775481816,16.41888499,-12.61666845,0.222647705,5.198415473,6.669940906,3.883384406,-9.364171991,6.626080326,8.337717143,-2.497241682,-1.30212544,-2.390890944,0.772903467,-12.0410067,-0.943684177,1.502163256,-9.889403567,7.751071698,-1.050406287,-2.752227617,-7.186739072,11.24156851,6.403936311,-22.01756437,1.59090243,-17.41486004,4.957174509,-6.246289772,-1.234510739,1.231824028,-8.003167156,1.105569712,-14.3628582,-5.652065614,-1.04722598,-5.760210795,4.464583246,1
349,2011121,201112,25.98827884,1058,12.79166667,32.00833333,22.36666667,1080,1,100,North-Western,Tropical moist deciduous forest,7589.605957,3238.647202,136,0,1,2,0,1,13,2.235004932,0.861976163,9.346527949,7.245125348,0.718963688,0.557317334,0,0,5000,0,0,0,0,0,102,2.93158404,56,16,0.9082,25.92156863,7.705882353,0.745370588,29.23484114,-4.845692057,5.90658544,-13.04783202,2.588980954,-53.75646828,-58.22284172,-4.393910905,-22.15423528,33.73968404,-38.15819811,-56.85649278,-49.92630666,-10.83799293,-2.026018599,-7.299304711,4.01482548,-14.29917532,-31.08321437,-4.08495842,29.55089683,0.890370811,-116.1449999,-0.190403311,-21.74966301,-28.61644381,7.171721297,-2.138936555,-9.642852695,-3.613559111,6.651462306,15.772451,-50.37632461,28.67898376,30.92584979,71.11499213,36.94419262,-2.155640724,-19.95243172,1.616403677,1.896583579,26.81638144,24.84444263,-36.57533716,36.08225205,-24.49565823,9.035690571,-7.782361074,57.64017946,-7.614424937,-19.00751003,1.607776089,6.755526464,-11.13706904,0.118719767,-41.64538892,9.334119212,46.65471534,-19.40819453,-16.43126265,-20.39631764,-12.97903385,12.70443627,19.43380147,6.834606507,-6.189460455,-27.73707511,2.416423713,29.90473977,-2.665635325,-13.28599631,6.479259809,-4.919100297,-10.39659605,2.093336749,-2.003628536,7.467907942,0.083989135,22.61267319,-5.422820522,-0.045379864,8.298298311,10.694726,12.57814677,5.919248972,-4.035633846,-1.846174529,1.801643093,-6.197127851,-5.865079395,0.523347339,-3.317529662,-8.511627417,-1.846818877,1.721073274,-1.012037036,1.759705112,2.607786569,-0.771354245,-1.282619832,1.101839875,1.874684303,-0.236270504,-3.627152593,-0.096606768,2.256350015,1.286105218,5.747001823,2.932886208,-3.495347197,1.71461365,-0.987997668,-0.37752561,-0.442973721,1.522230649,0.099971571,-1.102870001,-3.998378499,-6.222126416,-3.780415103,1.656024584,8.871070503,-3.184100381,10.81138809,3.258918321,-2.455765711,1.391710086,4.528981848,0.7582209,-2.260904695,-10.37295087,-7.444683335,8.103292155,4.201685811,9.669684368,6.548634563,-9.827750623,-2.129209541,-2.477631643,-2.394316478,7.887505934,-8.342802613,-9.337962892,-0.08403994,5.180183275,-3.599360031,-0.851492936,-1.551696874,-0.298223231,1
350,2011122,201112,56.72054734,1058,12.79166667,32.00833333,22.36666667,1080,1,100,North-Western,Tropical moist deciduous forest,7589.605957,3238.647202,210,5,3,2,0,1,20,2.428539316,0.873086508,11.34230245,7.879382889,0.567115123,0.393969144,0,0,5000,0,0,0,0,0,212,4.23165666,38,16,1.1351,21.08490566,8.490566038,0.694512264,27.81300892,-4.46005273,5.291575934,-12.30201552,2.521176421,-51.46955843,-54.88895069,-4.609441893,-21.55293481,32.68258823,-36.6111793,-54.05582451,-46.90012611,-10.51005835,-1.552543433,-6.289441811,5.56587775,-11.71183608,-30.29765591,-2.806774504,27.75333399,1.467530964,-111.6818874,-0.114305581,-20.44537733,-26.69980416,4.576823917,-1.618638859,-10.66661186,-3.653035936,5.397203371,14.84114561,-49.41539635,22.68786057,30.95530951,68.99229053,38.36511513,-2.840749572,-21.87248923,3.261355468,2.197310077,26.82548302,24.51342762,-34.49496976,35.85603991,-18.47998281,11.1630068,-9.401322137,59.94818299,-3.053341381,-21.1072782,-0.632145251,6.767633712,-13.16229181,0.128212524,-41.46561736,9.407818731,55.58564404,-19.25461913,-16.73192727,-23.53631348,-13.96507596,13.03928857,19.47283575,5.857949459,-2.687299118,-30.12246393,-1.722155823,35.02790219,-4.52032962,-15.98975487,10.99872134,-10.07562057,-10.69316991,1.105498709,2.03193471,8.656863371,-0.638022718,27.390976,-6.279365197,1.751033425,12.88255754,13.08922154,17.09936972,6.778883489,-4.792543841,-1.525212273,3.055794355,-9.300172829,-7.346727844,0.76737411,-5.088239815,-11.14756699,-3.010659392,1.405018892,-0.733388857,2.28030999,3.330701876,-0.563710654,-1.06380338,1.108974939,2.191148927,-0.285564037,-4.736301374,0.357833529,2.687525131,1.628640851,7.229635515,3.834650588,-4.890531136,2.369733757,-1.919577188,-0.714844714,-1.124981752,2.778542632,0.495530666,-1.635872005,-3.483764026,-9.053372311,-6.76886642,2.379262839,13.57272894,-5.933566282,17.75959056,4.394831158,-2.112559974,-0.357375679,7.811696093,1.016262631,-2.103868368,-8.077345721,-11.12344763,-2.673423955,-3.689605816,7.004685542,2.413398838,-1.134381529,2.012741605,5.056437872,1.663026579,16.27488061,-3.743573812,0.156373823,9.849725737,0.60760671,-2.969055723,-2.830532577,-0.141102856,1.771232673,1
351,2011123,201112,50.410097,1058,12.79166667,32.00833333,22.36666667,1080,1,100,North-Western,Tropical moist deciduous forest,7589.605957,3238.647202,5,1,1,2,1,1,15,2.34741428,0.8809375,10.458492,8.398950131,0.6972328,0.559930009,0,0,5000,0,0,0,0,0,160,3.42065262,49,20,0.9082,21.50632911,8.075949367,0.7192,27.81536346,-4.459533832,5.290547517,-12.30246283,2.521239542,-51.47343732,-54.88968087,-4.611224601,-21.55465602,32.68533583,-36.61269319,-54.05671507,-46.89852473,-10.51148556,-1.550919433,-6.287855767,5.57208477,-11.70477407,-30.300094,-2.802621971,27.75144624,1.4685415,-111.6818791,-0.114282591,-20.44361122,-26.69690953,4.572086866,-1.616390645,-10.67031127,-3.653823683,5.393366947,14.83882887,-49.41567225,22.66646767,30.95331819,68.98905903,38.369299,-2.842753747,-21.88209667,3.266726341,2.198503088,26.82821447,24.51296353,-34.48883792,35.85103769,-18.45605243,11.17271281,-9.406291184,59.9462827,-3.036172863,-21.11062133,-0.641691557,6.773919203,-13.16264675,0.127726779,-41.46017602,9.404735261,55.60879605,-19.24620885,-16.7247137,-23.54208303,-13.96531162,13.03707357,19.45918457,5.850636896,-2.668117665,-30.11058698,-1.740777606,35.02627548,-4.527168725,-15.98842188,11.01521398,-10.09476836,-10.67750083,1.097136395,2.05519844,8.653180298,-0.639581233,27.39645189,-6.280920622,1.752235552,12.88556205,13.08690839,17.08556798,6.791758992,-4.783387157,-1.504951009,3.068090442,-9.315956906,-7.34521222,0.766771661,-5.079921936,-11.14806159,-3.008385921,1.39559856,-0.71982109,2.266552938,3.313669398,-0.562874331,-1.070471445,1.119206113,2.21812116,-0.286694017,-4.778715923,0.349516828,2.688342348,1.629132991,7.224296186,3.829858449,-4.883641644,2.3659198,-1.894549459,-0.708933752,-1.116880088,2.775734177,0.492048066,-1.630640901,-3.512284287,-9.04545356,-6.751241454,2.383534909,13.58151817,-5.93870718,17.76136466,4.399967574,-2.12289248,-0.346785778,7.810815132,1.020941829,-2.109784291,-8.092476361,-11.11125444,-2.63257372,-3.662884781,7.042815058,2.430808567,-1.169336604,1.999916289,5.04117291,1.657093952,16.27384701,-3.767487664,0.132932446,9.844359431,0.616661644,-2.972614231,-2.841933982,-0.14567273,1.757796304,1
352,2011124,201112,55.52630507,1058,12.79166667,32.00833333,22.36666667,1080,1,100,North-Western,Tropical moist deciduous forest,7589.605957,3238.647202,90,1,3,2,1,1,18,2.528098056,0.901314879,12.52965276,10.13323983,0.69609182,0.562957768,0,0,5000,0,0,0,0,0,170,4.25631822,56,16,0.9082,22.17647059,8.141176471,0.674265882,31.08457288,-4.556435943,5.369903504,-13.39184718,2.537771942,-56.16443721,-58.50978794,-5.777342864,-23.14091058,35.44524746,-38.71650375,-56.92964053,-48.25427775,-10.76661813,-1.477708644,-6.547417866,7.22289203,-10.29952413,-32.03268752,-0.901121996,28.14903433,1.871423256,-115.23997,-0.1381986,-20.33694336,-26.27864974,1.621783639,-0.617687473,-11.88676895,-4.369925415,4.720746735,13.90374043,-49.00660088,19.06611035,32.1945801,66.47015398,40.54691716,-2.969705747,-23.04440843,4.952728242,2.406420053,26.59195335,23.83624747,-31.50304926,35.06896639,-12.93437669,13.40516439,-10.42983743,60.75960285,-1.601465095,-21.86498788,-1.367604219,4.416199723,-13.90493057,0.033173056,-34.53027894,9.429056654,58.27513548,-15.93449924,-13.99409552,-21.93293885,-13.87711445,12.62971931,16.22386218,4.832294356,0.041235518,-28.21224608,-4.705378957,34.20828127,-5.932900953,-14.73198657,9.774726528,-14.18907224,-15.21864659,0.888088667,3.892158695,8.495868362,-0.191864531,17.6926184,-3.671239024,3.891917641,16.96656985,11.53361632,13.8278198,3.802543597,-5.922225759,-4.422878079,1.174508063,-5.061131841,-5.057134017,0.795867958,-7.967637943,-7.010444489,-2.165144772,0.6943075,-1.086908882,5.830441734,3.713801466,0.597356715,-0.391768673,0.709691955,0.958657831,-0.343631931,-5.440207818,0.981447758,2.87272842,1.587974372,5.445244974,3.517289887,-3.33904398,1.756056539,4.360056383,-0.077678513,-0.512265411,1.590637541,-0.069024039,-0.553292779,-3.941312969,-3.084953351,2.405319555,1.925130999,4.508985819,-4.430244961,16.05887681,0.782020626,2.00881209,-3.228856676,4.75558698,-0.308564142,-1.188525201,6.288314461,-1.286143078,-5.121560671,-6.400445013,21.66911119,2.732925822,7.00953299,4.984144605,3.194845422,1.314618278,17.35646588,5.925226374,5.04582052,14.5244352,0.735748566,-6.180546687,-0.770435929,-1.903435529,10.33533133,1
