,ID.PLOT,ID.LUS,BIO4,X80.LandUse,X82.Designation,X83.LandTenure,X85.FireOccurrence,X86c.FireAreaM2,X87.FireType,X88.ExpectedFutureTrees,X92.TreeCanopyCoverage,N0,H,Simp,N1,N2,E1,E2,tprec,a.tmin,a.tmax,a.tmean,alt,Pop.pa,HHpop,Province,GEZ,pop.d,S.DistToRoad,Expo,Slope,RELIEF,TEXTURE,DRAINAGE,SOM,FOREST
976,2012051,201205101,16.51929376,110020,90,6,2,5000,2,3,2,10,2.150060224,0.865051903,8.585375431,7.41025641,0.858537543,0.741025641,823,14.61666667,29.98333333,22.26666667,1036,0,0,Western,Tropical dry forest,25708.12109,30738.74667,60,0,1,1,1,0,1
977,2012052,201205201,15.74659196,110020,90,6,2,5000,2,3,2,6,1.724934786,0.814814815,5.612155029,5.4,0.935359171,0.9,823,14.61666667,29.98333333,22.26666667,1036,0,0,Western,Tropical dry forest,25708.12109,30738.74667,300,1,1,1,1,0,1
978,2012053,201205301,0,110020,90,6,2,5000,2,3,2,0,0,0,0,0,0,0,823,14.61666667,29.98333333,22.26666667,1036,0,0,Western,Tropical dry forest,25708.12109,30738.74667,270,0,1,1,1,0,1
979,2012054,201205401,12.40131341,110020,90,6,2,5000,2,3,2,4,1.329661349,0.722222222,3.77976315,3.6,0.944940787,0.9,823,14.61666667,29.98333333,22.26666667,1036,0,0,Western,Tropical dry forest,25708.12109,30738.74667,290,1,1,1,1,0,1
980,2012061,201206101,51.07584489,110020,6,6,2,5000,2,2,3,10,1.557262262,0.662330905,4.745810657,2.961479199,0.474581066,0.29614792,825,15.09166667,30.11666667,22.575,1040,0,0,Western,Tropical dry forest,6682.165039,5512.22418,NA,0,1,1,0,2,1
981,2012062,201206201,41.96559233,110020,6,6,2,5000,2,2,3,8,1.598967429,0.740686633,4.947920706,3.856338028,0.618490088,0.482042254,825,15.09166667,30.11666667,22.575,1040,0,0,Western,Tropical dry forest,6682.165039,5512.22418,NA,0,1,1,0,2,1
982,2012063,201206301,41.91158768,110020,6,6,2,5000,2,2,3,9,1.652721476,0.734332949,5.221169799,3.764109986,0.580129978,0.418234443,825,15.09166667,30.11666667,22.575,1040,0,0,Western,Tropical dry forest,6682.165039,5512.22418,NA,0,1,1,0,2,1
983,2012064,201206401,48.16104455,110020,6,6,2,5000,2,2,3,13,2.090829716,0.818820984,8.091626134,5.519402985,0.62243278,0.42456946,825,15.09166667,30.11666667,22.575,1040,0,0,Western,Tropical dry forest,6682.165039,5512.22418,NA,0,1,1,0,2,1
988,2012081,201208101,49.37621604,110030,90,6,3,5000,2,2,1,10,1.866937237,0.802951389,6.468454689,5.074889868,0.646845469,0.507488987,823,14.35,29.56666667,21.925,1091,0,0,Western,Tropical moist deciduous forest,24867.07031,25524.60237,360,4,1,4,1,0,1
989,2012082,201208201,17.26837696,110030,7,6,3,5000,2,3,2,9,1.704551445,0.715277778,5.498918548,3.512195122,0.61099095,0.390243902,823,14.35,29.56666667,21.925,1091,0,0,Western,Tropical moist deciduous forest,24867.07031,25524.60237,90,1,1,4,1,0,1
990,2012083,201208301,21.50341603,110030,7,6,2,5000,2,1,1,11,2.137970363,0.852071006,8.482204349,6.76,0.771109486,0.614545455,823,14.35,29.56666667,21.925,1091,0,0,Western,Tropical moist deciduous forest,24867.07031,25524.60237,180,1,1,3,0,0,1
991,2012084,201208401,31.45088764,110030,7,90,3,5000,2,1,1,14,2.45354486,0.900390625,11.62949868,10.03921569,0.830678477,0.717086835,823,14.35,29.56666667,21.925,1091,0,0,Western,Tropical moist deciduous forest,24867.07031,25524.60237,290,2,1,3,0,0,1
996,2012101,201210101,31.60675471,110020,6,6,2,5000,2,3,3,8,1.64290283,0.711096939,5.170155832,3.461368653,0.646269479,0.432671082,844,13.19166667,28.54166667,20.84166667,1178,0,0,Western,Tropical moist deciduous forest,34505.69141,2577.229054,360,1,1,1,0,0,1
997,2012102,201210201,42.02188672,110020,6,6,2,5000,2,3,3,12,1.871627512,0.767011834,6.498864777,4.292063492,0.541572065,0.357671958,844,13.19166667,28.54166667,20.84166667,1178,0,0,Western,Tropical moist deciduous forest,34505.69141,2577.229054,360,1,1,1,0,0,1
998,2012103,201210301,24.87592329,110020,6,6,2,5000,2,3,3,6,1.021354997,0.475907198,2.776954981,1.908059024,0.46282583,0.318009837,844,13.19166667,28.54166667,20.84166667,1178,0,0,Western,Tropical moist deciduous forest,34505.69141,2577.229054,270,1,1,1,0,0,1
999,2012104,201210401,52.82569509,110020,6,6,2,5000,2,3,3,12,1.743760185,0.694214876,5.718806816,3.27027027,0.476567235,0.272522523,844,13.19166667,28.54166667,20.84166667,1178,0,0,Western,Tropical moist deciduous forest,34505.69141,2577.229054,90,1,1,1,0,0,1
1000,2012121,201212101,12.73739249,110020,1,4,2,5000,2,3,2,8,1.744932741,0.784,5.725516367,4.62962963,0.715689546,0.578703704,818,13.3,28.575,20.91666667,1044,1,520,Southern,Tropical dry forest,6531.562012,6121.893528,268,1,1,1,0,3,1
1001,2012122,201212201,19.02732539,110020,1,4,2,5000,2,3,2,8,1.391749579,0.655709343,4.0218805,2.904522613,0.502735062,0.363065327,818,13.3,28.575,20.91666667,1044,1,520,Southern,Tropical dry forest,6531.562012,6121.893528,340,4,1,1,0,3,1
1002,2012123,201212301,10.20456993,110020,1,4,2,5000,2,3,2,7,1.366158848,0.61,3.920263408,2.564102564,0.56003763,0.366300366,818,13.3,28.575,20.91666667,1044,1,520,Southern,Tropical dry forest,6531.562012,6121.893528,260,3,1,1,0,3,1
1003,2012124,201212401,11.95283629,110020,1,4,2,5000,2,3,2,6,1.357558546,0.648760331,3.886692527,2.847058824,0.647782088,0.474509804,818,13.3,28.575,20.91666667,1044,1,520,Southern,Tropical dry forest,6531.562012,6121.893528,211,2,1,1,0,3,1
1005,2012132,201213201,30.40482389,110020,90,6,NA,5000,2,2,2,2,0.154076104,0.068877551,1.166579664,1.073972603,0.583289832,0.536986301,818,13.2,28.35833333,20.75833333,1033,1,168,Southern,Tropical dry forest,27993.80469,11341.66381,295,2,1,6,2,0,1
1017,2012161,201216101,26.89815365,110010,99,1,1,0,0,1,1,22,2.797708139,0.915798611,16.40700109,11.87628866,0.745772777,0.539831303,791,13.6,27.09166667,20.30833333,1232,1,133,Southern,Tropical dry forest,17110.86523,3865.67975,60,0,1,2,0,0,1
1018,2012162,201216201,19.13115452,110030,99,1,1,0,0,1,1,18,2.646750595,0.9125,14.10812108,11.42857143,0.783784505,0.634920635,791,13.6,27.09166667,20.30833333,1232,1,133,Southern,Tropical dry forest,17110.86523,3865.67975,90,0,1,4,0,0,1
1019,2012163,201216301,20.78269526,110030,90,1,3,5000,2,3,2,10,1.702020217,0.711072664,5.485017131,3.461077844,0.548501713,0.346107784,791,13.6,27.09166667,20.30833333,1232,1,133,Southern,Tropical dry forest,17110.86523,3865.67975,49,2,1,2,1,0,1
1020,2012164,201216401,21.60833313,110010,90,90,2,5000,2,3,2,13,2.364028008,0.888888889,10.63369793,9,0.817976764,0.692307692,791,13.6,27.09166667,20.30833333,1232,1,133,Southern,Tropical dry forest,17110.86523,3865.67975,72,1,1,2,1,1,1
1026,2012184,201218401,7.391226336,110020,7,6,1,NA,NA,1,2,1,0,0,1,1,1,1,746,14.45833333,29.96666667,22.18333333,1021,0,0,Western,Tropical dry forest,27745.68164,15903.10743,NA,0,1,1,0,0,1
1027,2012191,201219101,0,110020,6,6,1,0,0,2,2,0,0,0,0,0,0,0,747,14.75,30.13333333,22.425,1016,0,0,Western,Tropical dry forest,15600.2207,10448.82917,0,0,1,5,1,2,1
1028,2012192,201219201,3.571350648,110020,6,6,1,0,0,2,2,2,0.562335145,0.375,1.754765351,1.6,0.877382675,0.8,747,14.75,30.13333333,22.425,1016,0,0,Western,Tropical dry forest,15600.2207,10448.82917,0,0,1,5,1,2,1
1032,2012201,201220101,12.37106408,110020,90,6,3,5000,2,3,2,6,1.673118363,0.795918367,5.328758918,4.9,0.888126486,0.816666667,749,14.63333333,30.04166667,22.30833333,1016,0,0,Western,Tropical dry forest,7626.37207,7672.628604,301,0,1,1,0,1,1
1033,2012202,201220201,27.55486612,110020,90,6,3,5000,2,3,2,6,1.537825184,0.751300728,4.654456667,4.020920502,0.775742778,0.670153417,749,14.63333333,30.04166667,22.30833333,1016,0,0,Western,Tropical dry forest,7626.37207,7672.628604,330,0,1,1,0,1,1
1034,2012203,201220301,20.85710125,110020,90,6,3,5000,2,3,2,6,1.324098224,0.631379962,3.758794236,2.712820513,0.626465706,0.452136752,749,14.63333333,30.04166667,22.30833333,1016,0,0,Western,Tropical dry forest,7626.37207,7672.628604,290,0,1,1,0,1,1
1035,2012204,201220401,17.1819432,110020,90,6,3,5000,2,3,2,4,1.205697772,0.671280277,3.339088188,3.042105263,0.834772047,0.760526316,749,14.63333333,30.04166667,22.30833333,1016,0,0,Western,Tropical dry forest,7626.37207,7672.628604,300,0,1,1,0,1,1
1036,2012211,201221101,45.16751043,110030,7,6,2,5000,2,1,1,11,1.987553584,0.803840878,7.297658798,5.097902098,0.663423527,0.463445645,768,14.08333333,29.65833333,21.85,1043,1,156,Western,Tropical moist deciduous forest,38239.94922,30133.79992,290,1,1,3,0,1,1
1037,2012212,201221201,45.11673135,110030,7,6,2,5000,2,1,2,9,1.924934647,0.832153269,6.854700675,5.957816377,0.761633408,0.661979597,768,14.08333333,29.65833333,21.85,1043,1,156,Western,Tropical moist deciduous forest,38239.94922,30133.79992,86,1,1,2,1,0,1
1038,2012213,201221301,20.94267636,110020,7,6,3,5000,2,3,3,8,1.851313106,0.822829964,6.368176128,5.644295302,0.796022016,0.705536913,768,14.08333333,29.65833333,21.85,1043,1,156,Western,Tropical moist deciduous forest,38239.94922,30133.79992,NA,NA,1,1,0,0,1
1039,2012214,201221401,46.9777658,110030,7,6,2,5000,2,3,2,17,2.607195861,0.91211995,13.56097064,11.37914692,0.797704155,0.669361583,768,14.08333333,29.65833333,21.85,1043,1,156,Western,Tropical moist deciduous forest,38239.94922,30133.79992,NA,NA,NA,NA,NA,NA,1
