,ID.PLOT,ID.LUS,BIO4,X80.LandUse,X82.Designation,X83.LandTenure,X85.FireOccurrence,X86c.FireAreaM2,X87.FireType,X88.ExpectedFutureTrees,X92.TreeCanopyCoverage,N0,H,Simp,N1,N2,E1,E2,tprec,a.tmin,a.tmax,a.tmean,alt,Pop.pa,HHpop,Province,GEZ,pop.d,S.DistToRoad,Expo,Slope,RELIEF,TEXTURE,DRAINAGE,SOM,FOREST
1,2010011,201001101,0.434448384,110030,99,6,2,5000,2,3,1,1,0,0,1,1,1,1,1072,17.73333333,29.45833333,23.575,971,0,0,Luapula,Tropical moist deciduous forest,24054.88672,3292.840853,222,1,3,2,0,1,1
2,2010012,201001201,0.837547006,110030,99,6,2,5000,2,2,1,1,0,0,1,1,1,1,1072,17.73333333,29.45833333,23.575,971,0,0,Luapula,Tropical moist deciduous forest,24054.88672,3292.840853,226,1,3,2,0,1,1
5,2010014,201001401,0,110030,99,6,2,5000,2,2,1,0,0,0,0,0,0,0,1072,17.73333333,29.45833333,23.575,971,0,0,Luapula,Tropical moist deciduous forest,24054.88672,3292.840853,NA,NA,NA,NA,NA,NA,1
6,2010021,201002101,46.04739716,110030,2,4,2,5000,2,3,3,8,1.624987174,0.708333333,5.078353903,3.428571429,0.634794238,0.428571429,1125,16.78333333,28.29166667,22.50833333,1261,1,500,Luapula,Tropical moist deciduous forest,17911.69336,13446.24953,269,10,3,4,2,3,1
7,2010022,201002201,51.68289963,110030,2,4,2,5000,2,3,3,11,2.208249713,0.875171468,9.099775231,8.010989011,0.827252294,0.728271728,1125,16.78333333,28.29166667,22.50833333,1261,1,500,Luapula,Tropical moist deciduous forest,17911.69336,13446.24953,227,1,2,4,1,3,1
8,2010023,201002301,31.30339608,110030,2,4,2,5000,2,3,3,10,1.76307711,0.751714678,5.830350451,4.027624309,0.583035045,0.402762431,1125,16.78333333,28.29166667,22.50833333,1261,1,500,Luapula,Tropical moist deciduous forest,17911.69336,13446.24953,280,6,2,5,2,2,1
9,2010024,201002401,33.73912711,110030,2,4,2,5000,2,3,3,16,2.631337528,0.917159763,13.89233887,12.07142857,0.86827118,0.754464286,1125,16.78333333,28.29166667,22.50833333,1261,1,500,Luapula,Tropical moist deciduous forest,17911.69336,13446.24953,225,5,2,3,0,3,1
28,2010071,201007101,28.26545318,110030,7,6,2,5000,2,1,4,11,2.107279667,0.851969217,8.225833817,6.755351682,0.747803074,0.61412288,1174,16.975,28.84166667,22.875,1118,1,NA,Northern,Tropical moist deciduous forest,11768.62988,1353.203478,18,2,1,3,0,2,1
29,2010072,201007201,23.19339742,110030,7,6,2,5000,2,1,4,11,1.993143232,0.823251418,7.338564356,5.657754011,0.667142214,0.514341274,1174,16.975,28.84166667,22.875,1118,1,NA,Northern,Tropical moist deciduous forest,11768.62988,1353.203478,360,2,1,3,1,2,1
30,2010073,201007301,25.19350772,110030,7,6,2,5000,2,1,4,12,2.065345433,0.834294502,7.888022208,6.034802784,0.657335184,0.502900232,1174,16.975,28.84166667,22.875,1118,1,NA,Northern,Tropical moist deciduous forest,11768.62988,1353.203478,150,3,1,3,1,2,1
31,2010074,201007401,46.41272377,110030,7,6,2,5000,2,1,4,14,1.8379546,0.74671419,6.283672482,3.948109059,0.448833749,0.28200779,1174,16.975,28.84166667,22.875,1118,1,NA,Northern,Tropical moist deciduous forest,11768.62988,1353.203478,300,2,1,3,0,2,1
44,2010084,201008401,58.24770728,110020,7,6,2,5000,2,2,3,23,2.636914206,0.897953259,13.9700284,9.79943101,0.607392539,0.426062218,1251,15.21666667,26.975,21.075,1459,1,279,Northern,Tropical moist deciduous forest,5940.594727,5005.205518,340,2,1,2,0,2,1
54,2010101,201010101,7.829225556,110020,90,2,3,5000,2,3,4,5,1.237597168,0.645,3.447320175,2.816901408,0.689464035,0.563380282,1139,12.76666667,24.10833333,18.425,1834,0,0,Northern,Tropical mountain system,1713.96875,7604.562735,180,2,1,3,0,3,1
55,2010102,201010201,11.39459058,110020,90,1,3,5000,2,3,4,7,1.502755557,0.705882353,4.494055653,3.4,0.64200795,0.485714286,1139,12.76666667,24.10833333,18.425,1834,0,0,Northern,Tropical mountain system,1713.96875,7604.562735,90,3,1,3,0,3,1
56,2010104,201010401,12.88043334,110020,90,1,3,5000,2,3,4,6,1.539763247,0.751147842,4.663486048,4.018450185,0.777247675,0.669741697,1139,12.76666667,24.10833333,18.425,1834,0,0,Northern,Tropical mountain system,1713.96875,7604.562735,90,3,1,3,0,3,1
57,2010111,201011101,62.52657085,110030,99,6,2,200,2,3,3,6,1.660947433,0.791666667,5.264296052,4.8,0.877382675,0.8,1219,15.86666667,27.83333333,21.81666667,1205,0,0,Luapula,Tropical moist deciduous forest,29883.67773,6938.971893,320,40,7,2,0,1,1
60,2010123,201012301,34.17144994,110030,99,6,3,5000,2,2,3,12,2.196916273,0.864197531,8.997225685,7.363636364,0.749768807,0.613636364,1218,15.675,27.53333333,21.575,1259,0,0,Northern,Tropical moist deciduous forest,11014.67969,6711.069113,296,2,1,3,1,2,1
70,2010142,201014201,11.89363931,110020,7,6,2,5000,2,2,2,7,1.854652619,0.830449827,6.389478279,5.897959184,0.912782611,0.842565598,1310,14.625,26.63333333,20.60833333,1411,0,0,Northern,Tropical moist deciduous forest,18050.38672,2858.432933,250,1,1,3,0,2,1
76,2010151,201015101,22.08676116,110030,7,6,3,5000,0,3,4,9,1.738296039,0.764146673,5.687643637,4.239923225,0.631960404,0.471102581,1250,14.51666667,26.71666667,20.6,1314,1,NA,Northern,Tropical mountain system,21058.20313,8960.658856,270,4,1,3,0,2,1
77,2010152,201015201,40.84272191,110030,7,6,3,5000,0,3,4,14,2.072002277,0.806122449,7.940706709,5.157894737,0.567193336,0.368421053,1250,14.51666667,26.71666667,20.6,1314,1,NA,Northern,Tropical mountain system,21058.20313,8960.658856,180,4,1,3,0,3,1
78,2010153,201015301,20.2725957,110030,7,6,3,5000,0,3,4,17,2.503230349,0.8928,12.2219113,9.328358209,0.718935959,0.548726953,1250,14.51666667,26.71666667,20.6,1314,1,NA,Northern,Tropical mountain system,21058.20313,8960.658856,90,2,1,3,0,3,1
79,2010154,201015401,33.67114325,110030,7,6,3,5000,0,3,4,17,2.125631636,0.793950851,8.378187783,4.853211009,0.492834575,0.285483001,1250,14.51666667,26.71666667,20.6,1314,1,NA,Northern,Tropical mountain system,21058.20313,8960.658856,90,3,1,2,0,3,1
80,2010161,201016101,60.23130413,110020,7,6,3,5000,2,2,3,20,2.407103153,0.846560847,11.10175444,6.517241379,0.555087722,0.325862069,1140,14.14166667,26.06666667,20.08333333,1389,0,0,Northern,Tropical moist deciduous forest,17701.05469,19016.16058,0,2,1,2,0,2,1
81,2010162,201016201,34.88593892,110020,7,6,3,5000,2,2,3,17,2.464256104,0.880430604,11.7547346,8.363344051,0.691454977,0.491961415,1140,14.14166667,26.06666667,20.08333333,1389,0,0,Northern,Tropical moist deciduous forest,17701.05469,19016.16058,270,3,1,2,0,2,1
82,2010163,201016301,53.66267261,110020,7,6,3,5000,2,2,3,13,2.02611202,0.823673469,7.584540415,5.671296296,0.583426186,0.436253561,1140,14.14166667,26.06666667,20.08333333,1389,0,0,Northern,Tropical moist deciduous forest,17701.05469,19016.16058,270,1,1,2,0,2,1
83,2010164,201016401,62.97097242,110020,7,6,3,5000,2,2,3,12,1.777237109,0.7456382,5.913495483,3.931407942,0.49279129,0.327617329,1140,14.14166667,26.06666667,20.08333333,1389,0,0,Northern,Tropical moist deciduous forest,17701.05469,19016.16058,270,1,1,2,0,2,1
89,2010173,201017301,2.587868295,110030,7,6,1,5000,0,2,2,7,1.886696785,0.84,6.597539554,6.25,0.942505651,0.892857143,1017,15.375,26.70833333,21.00833333,1345,0,0,Northern,Tropical moist deciduous forest,5837.270996,1938.470626,80,2,1,3,0,3,1
90,2010174,201017401,7.548402555,110030,7,6,1,5000,0,2,2,12,2.333196714,0.886426593,10.31084975,8.804878049,0.859237479,0.733739837,1017,15.375,26.70833333,21.00833333,1345,0,0,Northern,Tropical moist deciduous forest,5837.270996,1938.470626,90,2,1,3,0,3,1
95,2010201,201020101,7.699129665,110030,99,6,2,5000,2,3,1,4,1.333736027,0.724489796,3.795195889,3.62962963,0.948798972,0.907407407,1324,14.34166667,26.45833333,20.35,1407,1,14,Luapula,Tropical moist deciduous forest,22354.34375,1210.193993,275,10,1,1,2,0,1
96,2010202,201020201,6.254455045,110030,99,6,2,5000,2,3,1,7,1.69878299,0.763888889,5.467289592,4.235294118,0.78104137,0.605042017,1324,14.34166667,26.45833333,20.35,1407,1,14,Luapula,Tropical moist deciduous forest,22354.34375,1210.193993,260,1,1,1,2,1,1
97,2010203,201020301,5.00522352,110030,99,6,2,5000,2,3,1,4,0.988154224,0.515555556,2.686271639,2.064220183,0.67156791,0.516055046,1324,14.34166667,26.45833333,20.35,1407,1,14,Luapula,Tropical moist deciduous forest,22354.34375,1210.193993,NA,1,1,7,3,0,1
98,2010204,201020401,3.215509053,110030,99,6,2,5000,2,3,1,5,1.494175138,0.75,4.455659734,4,0.891131947,0.8,1324,14.34166667,26.45833333,20.35,1407,1,14,Luapula,Tropical moist deciduous forest,22354.34375,1210.193993,220,1,1,1,0,0,1
99,2010211,201021101,26.11072133,110030,99,1,3,5000,2,1,4,9,1.713900598,0.738292011,5.550569851,3.821052632,0.616729983,0.424561404,1349,14.40833333,26.375,20.375,1432,1,0,Luapula,Tropical moist deciduous forest,14717.44141,2431.615487,260,2,1,2,0,1,1
100,2010212,201021201,15.69413125,110030,99,1,3,5000,2,1,4,13,2.147223421,0.83203125,8.561054921,5.953488372,0.658542686,0.457960644,1349,14.40833333,26.375,20.375,1432,1,0,Luapula,Tropical moist deciduous forest,14717.44141,2431.615487,312,1,1,2,0,1,1
101,2010213,201021301,16.26530656,110030,99,1,3,5000,2,1,4,11,1.979169344,0.802734375,7.236729254,5.069306931,0.657884478,0.460846085,1349,14.40833333,26.375,20.375,1432,1,0,Luapula,Tropical moist deciduous forest,14717.44141,2431.615487,332,1,1,2,0,1,1
102,2010214,201021401,31.26416345,110030,99,1,3,5000,2,1,4,16,2.458893677,0.880332986,11.6918694,8.356521739,0.730741838,0.522282609,1349,14.40833333,26.375,20.375,1432,1,0,Luapula,Tropical moist deciduous forest,14717.44141,2431.615487,325,1,1,2,0,1,1
110,2010232,201023201,24.84894009,110020,6,6,1,5000,0,2,3,18,2.579136254,0.903106509,13.18574411,10.32061069,0.73254134,0.57336726,1380,14.25,26.54166667,20.36666667,1384,1,60,Northern,Tropical moist deciduous forest,7595.651855,8426.667174,80,2,1,3,0,2,1
118,2010242,201024201,31.64000421,110030,99,1,3,5000,2,1,3,15,2.141653877,0.838732645,8.513506285,6.200883002,0.567567086,0.4133922,1327,13.45833333,26.025,19.70833333,1466,1,55,Northern,Tropical moist deciduous forest,13599.22949,4331.637636,NA,1,1,2,1,2,1
119,2010243,201024301,35.23948197,110030,99,1,3,3080,2,2,4,6,1.237819728,0.586888658,3.448087494,2.420654912,0.574681249,0.403442485,1327,13.45833333,26.025,19.70833333,1466,1,55,Northern,Tropical moist deciduous forest,13599.22949,4331.637636,180,2,1,3,1,2,1
120,2010243,201024302,16.43706563,110010,99,1,3,1380,2,2,5,3,1.054920168,0.64,2.871745887,2.777777778,0.957248629,0.925925926,1327,13.45833333,26.025,19.70833333,1466,1,55,Northern,Tropical moist deciduous forest,13599.22949,4331.637636,180,2,1,3,1,2,1
121,2010243,201024303,54.7603905,110030,99,1,3,540,2,2,4,3,1.011404265,0.611111111,2.749459274,2.571428571,0.916486425,0.857142857,1327,13.45833333,26.025,19.70833333,1466,1,55,Northern,Tropical moist deciduous forest,13599.22949,4331.637636,180,2,1,3,1,2,1
125,2010251,201025101,10.62541698,110030,7,1,3,5000,2,2,3,10,1.983298521,0.826171875,7.266672769,5.752808989,0.726667277,0.575280899,1208,14.19166667,26.725,20.43333333,1287,1,0,Northern,Tropical moist deciduous forest,15642.84277,6542.225714,270,5,1,5,0,2,1
126,2010252,201025201,25.70267159,110030,7,1,3,5000,2,2,3,11,1.800956414,0.751604938,6.055436199,4.02584493,0.5504942,0.365985903,1208,14.19166667,26.725,20.43333333,1287,1,0,Northern,Tropical moist deciduous forest,15642.84277,6542.225714,255,1,1,2,0,0,1
127,2010253,201025301,22.58651621,110030,7,1,3,5000,2,2,3,13,2.175539406,0.833984375,8.806934354,6.023529412,0.677456489,0.463348416,1208,14.19166667,26.725,20.43333333,1287,1,0,Northern,Tropical moist deciduous forest,15642.84277,6542.225714,270,2,1,5,0,2,1
128,2010254,201025401,19.34845525,110030,7,1,3,5000,2,2,3,15,2.256036845,0.828888889,9.54518506,5.844155844,0.636345671,0.38961039,1208,14.19166667,26.725,20.43333333,1287,1,0,Northern,Tropical moist deciduous forest,15642.84277,6542.225714,270,2,1,2,1,2,1
141,2010281,201028101,37.2273437,110020,90,6,1,0,0,1,3,7,1.580838609,0.766419753,4.859028927,4.281183932,0.69414699,0.611597705,1064,17.8,27.85833333,22.79166667,997,0,0,Northern,Tropical moist deciduous forest,18929.34961,11699.37963,210,3,3,3,0,1,1
142,2010282,201028201,27.62671741,110020,90,6,1,0,0,1,3,13,2.043779783,0.828764685,7.719733039,5.83991684,0.593825618,0.449224372,1064,17.8,27.85833333,22.79166667,997,0,0,Northern,Tropical moist deciduous forest,18929.34961,11699.37963,270,3,3,3,0,1,1
143,2010283,201028301,20.58761926,110020,90,6,1,0,0,1,3,10,1.988275461,0.835743802,7.302928714,6.088050314,0.730292871,0.608805031,1064,17.8,27.85833333,22.79166667,997,0,0,Northern,Tropical moist deciduous forest,18929.34961,11699.37963,250,2,2,2,0,1,1
144,2010284,201028401,28.21369797,110020,90,6,1,0,0,1,3,14,2.111555595,0.834201389,8.261082197,6.031413613,0.5900773,0.430815258,1064,17.8,27.85833333,22.79166667,997,0,0,Northern,Tropical moist deciduous forest,18929.34961,11699.37963,185,2,3,3,0,1,1
151,2010302,201030201,37.88975646,110030,90,6,3,5000,2,2,1,15,2.614589433,0.920138889,13.66160622,12.52173913,0.910773748,0.834782609,1387,14.76666667,27.05833333,20.9,1255,1,210,Northern,Tropical moist deciduous forest,16468.79883,1052.621178,190,1,1,3,1,2,1
152,2010303,201030301,24.27446066,110030,90,6,3,5000,2,2,1,8,1.692281461,0.755,5.431859153,4.081632653,0.678982394,0.510204082,1387,14.76666667,27.05833333,20.9,1255,1,210,Northern,Tropical moist deciduous forest,16468.79883,1052.621178,280,1,1,3,1,2,1
153,2010304,201030401,24.2399569,110030,90,6,3,5000,2,2,1,8,2.025326221,0.86,7.578582833,7.142857143,0.947322854,0.892857143,1387,14.76666667,27.05833333,20.9,1255,1,210,Northern,Tropical moist deciduous forest,16468.79883,1052.621178,279,1,1,3,1,2,1
162,2010321,201032101,1.897395238,110030,6,1,3,5000,2,2,3,3,0.950270539,0.56,2.58640929,2.272727273,0.86213643,0.757575758,1388,14.65833333,26.99166667,20.8,1270,1,438,Northern,Tropical moist deciduous forest,24360.79102,151.2877393,350,2,1,3,1,1,1
163,2010322,201032201,7.370697924,110030,6,1,3,5000,2,2,3,9,1.86886277,0.78200692,6.480921905,4.587301587,0.720102434,0.509700176,1388,14.65833333,26.99166667,20.8,1270,1,438,Northern,Tropical moist deciduous forest,24360.79102,151.2877393,45,2,1,3,1,1,1
164,2010323,201032301,5.312940895,110030,6,1,3,5000,2,2,3,8,1.927392126,0.8359375,6.871566675,6.095238095,0.858945834,0.761904762,1388,14.65833333,26.99166667,20.8,1270,1,438,Northern,Tropical moist deciduous forest,24360.79102,151.2877393,45,2,1,3,1,1,1
168,2010331,201033101,17.69736396,110030,7,6,3,5000,2,1,4,20,2.768252076,0.922070196,15.9307639,12.83206107,0.796538195,0.641603053,1288,14.50833333,27.15,20.81666667,1259,1,4800,Northern,Tropical moist deciduous forest,3835.30542,609.087337,0,3,1,3,1,2,1
169,2010332,201033201,22.0370717,110030,6,6,3,5000,2,1,4,20,2.849471111,0.93553719,17.27864094,15.51282051,0.863932047,0.775641026,1288,14.50833333,27.15,20.81666667,1259,1,4800,Northern,Tropical moist deciduous forest,3835.30542,609.087337,NA,3,1,3,1,2,1
170,2010333,201033301,58.14254442,110030,6,6,3,5000,2,3,0,20,2.512650227,0.88994646,12.33758417,9.086486486,0.616879209,0.454324324,1288,14.50833333,27.15,20.81666667,1259,1,4800,Northern,Tropical moist deciduous forest,3835.30542,609.087337,NA,0,1,3,1,2,1
171,2010334,201033401,53.71267074,110030,6,6,3,5000,2,1,4,20,2.696394481,0.914807847,14.82617917,11.73817035,0.741308959,0.586908517,1288,14.50833333,27.15,20.81666667,1259,1,4800,Northern,Tropical moist deciduous forest,3835.30542,609.087337,NA,0,1,3,1,0,1
182,2010371,201037101,6.435853505,110020,90,6,2,5000,2,1,1,10,2.170048346,0.871972318,8.758707483,7.810810811,0.875870748,0.781081081,939,18.25833333,28.95833333,23.58333333,783,1,NA,Eastern,Tropical dry forest,5315.26709,7972.050675,240,6,3,5,2,1,1
185,2010373,201037301,13.71256589,110020,90,6,2,5000,2,1,3,9,1.908133893,0.8033241,6.740498565,5.084507042,0.748944285,0.564945227,939,18.25833333,28.95833333,23.58333333,783,1,NA,Eastern,Tropical dry forest,5315.26709,7972.050675,105,11,5,5,2,1,1
186,2010374,201037401,10.55249705,110020,90,6,2,5000,2,1,3,6,1.657993946,0.79338843,5.248770957,4.84,0.87479516,0.806666667,939,18.25833333,28.95833333,23.58333333,783,1,NA,Eastern,Tropical dry forest,5315.26709,7972.050675,185,12,5,5,2,1,1
196,2010391,201039101,2.494026411,110030,99,6,3,5000,2,1,3,7,1.83437197,0.82,6.26120069,5.555555556,0.894457241,0.793650794,1222,13.61666667,27.025,20.28333333,1266,1,0,Luapula,Tropical moist deciduous forest,16095.26953,5245.359569,300,1,1,3,0,1,1
197,2010392,201039201,4.918994322,110030,99,6,3,5000,2,1,3,2,0.693147181,0.5,2,2,1,1,1222,13.61666667,27.025,20.28333333,1266,1,0,Luapula,Tropical moist deciduous forest,16095.26953,5245.359569,240,1,1,3,1,1,1
198,2010393,201039301,1.005805475,110030,99,6,3,5000,2,1,3,2,0.693147181,0.5,2,2,1,1,1222,13.61666667,27.025,20.28333333,1266,1,0,Luapula,Tropical moist deciduous forest,16095.26953,5245.359569,200,1,1,3,1,1,1
199,2010394,201039401,9.135751247,110030,99,6,3,5000,2,1,3,11,2.397895273,0.909090909,11,11,1,1,1222,13.61666667,27.025,20.28333333,1266,1,0,Luapula,Tropical moist deciduous forest,16095.26953,5245.359569,180,1,1,3,1,1,1
200,2010401,201040101,24.78647805,110030,99,6,2,5000,2,2,3,10,2.072927042,0.850694444,7.948053386,6.697674419,0.794805339,0.669767442,1463,14.75,26.94166667,20.81666667,1213,0,0,Luapula,Tropical moist deciduous forest,15533.56641,1406.028344,NA,1,1,1,1,1,1
211,2010421,201042101,26.42544557,110020,1,4,2,5000,2,1,2,9,1.931960718,0.81640625,6.903031878,5.446808511,0.767003542,0.605200946,1354,14.93333333,27.10833333,21,1191,1,1500,Northern,Tropical moist deciduous forest,20899.92383,14444.84951,NA,1,1,3,0,1,1
212,2010422,201042201,24.63556542,110020,1,4,2,5000,2,1,2,7,1.709271364,0.79,5.524934347,4.761904762,0.789276335,0.680272109,1354,14.93333333,27.10833333,21,1191,1,1500,Northern,Tropical moist deciduous forest,20899.92383,14444.84951,NA,1,1,3,0,1,1
213,2010423,201042301,33.94468019,110020,1,4,2,5000,2,1,2,13,2.450396283,0.902494331,11.59293989,10.25581395,0.891764607,0.788908766,1354,14.93333333,27.10833333,21,1191,1,1500,Northern,Tropical moist deciduous forest,20899.92383,14444.84951,240,1,1,3,0,1,1
214,2010424,201042401,16.34231098,110020,1,4,2,5000,2,1,2,8,1.979204517,0.847222222,7.2369838,6.545454545,0.904622975,0.818181818,1354,14.93333333,27.10833333,21,1191,1,1500,Northern,Tropical moist deciduous forest,20899.92383,14444.84951,NA,1,1,3,0,1,1
215,2010431,201043101,18.43434451,110030,6,4,2,5000,2,3,3,15,2.467534649,0.891632373,11.79333627,9.227848101,0.786222418,0.615189873,1260,14.625,26.95,20.76666667,1226,1,445,Northern,Tropical moist deciduous forest,16695.25781,5234.374122,1,3,1,4,0,2,1
216,2010432,201043201,20.60347784,110030,6,4,2,5000,2,3,3,13,1.974209617,0.8066609,7.200925915,5.172259508,0.553917378,0.397866116,1260,14.625,26.95,20.76666667,1226,1,445,Northern,Tropical moist deciduous forest,16695.25781,5234.374122,NA,NA,1,3,1,0,1
217,2010433,201043301,5.037221463,110030,6,4,3,5000,2,2,4,11,2.227437653,0.875283447,9.2760671,8.018181818,0.843278827,0.72892562,1260,14.625,26.95,20.76666667,1226,1,445,Northern,Tropical moist deciduous forest,16695.25781,5234.374122,2,2,1,3,1,1,1
218,2010434,201043401,7.755304569,110030,6,4,3,5000,2,2,4,10,1.929849096,0.79,6.888470662,4.761904762,0.688847066,0.476190476,1260,14.625,26.95,20.76666667,1226,1,445,Northern,Tropical moist deciduous forest,16695.25781,5234.374122,1,3,1,3,1,2,1
219,2010441,201044101,25.64134356,110030,99,6,1,5000,0,1,3,12,2.160963989,0.846648301,8.679500571,6.520958084,0.723291714,0.543413174,1221,13.875,26.075,19.95,1369,1,20,Northern,Tropical moist deciduous forest,28323.54297,14838.70395,NA,1,1,4,1,2,1
220,2010442,201044201,35.38230684,110030,99,6,1,5000,0,1,3,12,2.200092916,0.868530637,9.025852107,7.606334842,0.752154342,0.633861237,1221,13.875,26.075,19.95,1369,1,20,Northern,Tropical moist deciduous forest,28323.54297,14838.70395,210,1,1,4,1,2,1
222,2010444,201044401,26.78616144,110030,99,6,1,5000,0,1,3,17,2.495346701,0.88531775,12.12593687,8.719745223,0.713290404,0.51292619,1221,13.875,26.075,19.95,1369,1,20,Northern,Tropical moist deciduous forest,28323.54297,14838.70395,320,1,1,3,0,1,1
234,2010471,201047101,80.80371457,110020,90,6,1,0,0,1,3,2,0.057907517,0.020616319,1.059616995,1.021050299,0.529808498,0.51052515,864,17.95,29.43333333,23.65833333,693,1,28,Eastern,Tropical dry forest,19851.53125,4065.720253,220,5,1,1,2,1,1
235,2010472,201047201,54.25569743,110020,90,6,2,2000,2,1,3,2,0.099623389,0.03998334,1.104754777,1.04164859,0.552377389,0.520824295,864,17.95,29.43333333,23.65833333,693,1,28,Eastern,Tropical dry forest,19851.53125,4065.720253,240,4,1,2,1,1,1
236,2010473,201047301,49.70939634,110020,90,6,1,0,0,1,3,2,0.154076104,0.068877551,1.166579664,1.073972603,0.583289832,0.536986301,864,17.95,29.43333333,23.65833333,693,1,28,Eastern,Tropical dry forest,19851.53125,4065.720253,150,5,1,1,1,1,1
237,2010474,201047401,106.310061,110020,90,6,1,0,0,1,3,4,0.195456771,0.071542799,1.215866232,1.077055571,0.303966558,0.269263893,864,17.95,29.43333333,23.65833333,693,1,28,Eastern,Tropical dry forest,19851.53125,4065.720253,230,4,1,2,1,1,1
238,2010482,201048201,82.83179289,110030,6,6,1,0,0,3,5,16,2.248560576,0.831836735,9.474088787,5.946601942,0.592130549,0.371662621,1434,12.66666667,26.88333333,19.75833333,1426,1,0,North-Western,Tropical moist deciduous forest,25771.56836,3322.652077,290,1,1,3,1,2,1
242,2010491,201049101,79.27597325,114000,7,6,1,0,0,3,5,20,2.643725412,0.901920439,14.06550593,10.1958042,0.703275296,0.50979021,1345,12.71666667,26.75,19.70833333,1448,1,19,North-Western,Tropical moist deciduous forest,27187.51758,21681.47326,0,2,1,2,0,2,1
243,2010492,201049201,92.0380155,110030,7,6,1,5000,0,3,5,17,2.425767287,0.887364731,11.3109048,8.878213802,0.665347341,0.522247871,1345,12.71666667,26.75,19.70833333,1448,1,19,North-Western,Tropical moist deciduous forest,27187.51758,21681.47326,340,1,1,2,0,2,1
244,2010493,201049301,117.0738281,110030,7,6,1,5000,0,3,5,19,2.395243766,0.871691851,10.97087205,7.793737236,0.577414319,0.410196697,1345,12.71666667,26.75,19.70833333,1448,1,19,North-Western,Tropical moist deciduous forest,27187.51758,21681.47326,5,1,1,2,0,2,1
245,2010494,201049401,88.48347418,110030,7,6,1,5000,0,3,5,12,2.243292116,0.867036011,9.424306181,7.520833333,0.785358848,0.626736111,1345,12.71666667,26.75,19.70833333,1448,1,19,North-Western,Tropical moist deciduous forest,27187.51758,21681.47326,270,2,1,2,1,3,1
246,2010501,201050101,90.48968605,110030,1,6,3,5000,2,2,4,17,2.40361303,0.877721043,11.06307548,8.178021978,0.650769146,0.481060116,1170,13.18333333,27.55833333,20.34166667,1202,1,1700,Luapula,Tropical moist deciduous forest,9173.8125,8396.978702,NA,1,1,3,0,2,1
247,2010502,201050201,69.09925201,110030,1,6,3,5000,2,2,4,16,2.363604947,0.868636525,10.62920017,7.612466125,0.664325011,0.475779133,1170,13.18333333,27.55833333,20.34166667,1202,1,1700,Luapula,Tropical moist deciduous forest,9173.8125,8396.978702,NA,NA,NA,NA,NA,NA,1
248,2010503,201050301,60.69515028,110030,1,6,3,5000,2,2,4,15,2.06825692,0.806183115,7.911021547,5.159509202,0.527401436,0.34396728,1170,13.18333333,27.55833333,20.34166667,1202,1,1700,Luapula,Tropical moist deciduous forest,9173.8125,8396.978702,NA,1,1,3,0,2,1
249,2010504,201050401,51.10791001,110030,1,6,3,5000,2,2,4,16,2.538786796,0.905817175,12.66429727,10.61764706,0.791518579,0.663602941,1170,13.18333333,27.55833333,20.34166667,1202,1,1700,Luapula,Tropical moist deciduous forest,9173.8125,8396.978702,NA,1,1,3,0,2,1
250,2010511,201051101,28.79953129,110030,99,6,3,5000,2,1,4,9,1.758462989,0.79125,5.803510479,4.790419162,0.644834498,0.532268796,1249,13.29166667,26.69166667,19.95833333,1277,1,192,Luapula,Tropical moist deciduous forest,22284.55273,5042.677016,290,5,1,2,0,1,1
251,2010512,201051201,44.5762367,110030,99,6,3,5000,2,1,4,12,2.038135637,0.823902218,7.676284473,5.678663239,0.639690373,0.473221937,1249,13.29166667,26.69166667,19.95833333,1277,1,192,Luapula,Tropical moist deciduous forest,22284.55273,5042.677016,270,5,1,2,0,1,1
252,2010513,201051301,78.91938872,110030,99,6,3,5000,2,1,4,14,1.99114187,0.781887755,7.323891925,4.584795322,0.523135138,0.32748538,1249,13.29166667,26.69166667,19.95833333,1277,1,192,Luapula,Tropical moist deciduous forest,22284.55273,5042.677016,289,5,1,2,0,1,1
253,2010514,201051401,57.37965269,110030,99,6,3,5000,2,1,4,13,2.350985028,0.890210925,10.4959034,9.108374384,0.807377184,0.700644183,1249,13.29166667,26.69166667,19.95833333,1277,1,192,Luapula,Tropical moist deciduous forest,22284.55273,5042.677016,288,5,1,2,0,1,1
254,2010521,201052101,37.59728422,110030,99,6,3,5000,2,2,3,13,2.311423445,0.875739645,10.08877525,8.047619048,0.776059635,0.619047619,1429,14.54166667,26.55833333,20.525,1234,1,537,Luapula,Tropical moist deciduous forest,19712.32227,3842.492969,NA,0,1,2,0,1,1
255,2010522,201052201,19.15972761,110030,99,6,3,5000,2,2,3,10,1.954610525,0.810650888,7.061168337,5.28125,0.706116834,0.528125,1429,14.54166667,26.55833333,20.525,1234,1,537,Luapula,Tropical moist deciduous forest,19712.32227,3842.492969,NA,1,1,2,0,1,1
256,2010523,201052301,5.898842325,110030,99,6,3,5000,2,2,3,3,0.955699891,0.571428571,2.600490006,2.333333333,0.866830002,0.777777778,1429,14.54166667,26.55833333,20.525,1234,1,537,Luapula,Tropical moist deciduous forest,19712.32227,3842.492969,NA,1,1,2,1,2,1
